Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
100000,19,89980,1,0.1
2,20,2,1,0.1
3,20,2,1,0.1
100,20,95,1,0.1
200,20,182,1,0.1
2000,20,1795,1,0.1
10000,20,9042,1,0.1
20000,20,18049,1,0.1
40000,20,36000,1,0.1
60000,20,54055,1,0.1
80000,20,71898,1,0.1
100000,20,90036,1,0.1
2,21,2,1,0.1
3,21,3,1,0.1
100,21,92,1,0.1
200,21,182,1,0.1
2000,21,1787,1,0.1
10000,21,9012,1,0.1
20000,21,17946,1,0.1
40000,21,36000,1,0.1
60000,21,53969,1,0.1
80000,21,71928,1,0.1
100000,21,89992,1,0.1
2,22,2,1,0.1
3,22,3,1,0.1
100,22,89,1,0.1
200,22,182,1,0.1
2000,22,1818,1,0.1
10000,22,9027,1,0.1
20000,22,18018,1,0.1
40000,22,35929,1,0.1
60000,22,53907,1,0.1
80000,22,72158,1,0.1
100000,22,90068,1,0.1
2,23,2,1,0.1
3,23,2,1,0.1
100,23,90,1,0.1
200,23,175,1,0.1
2000,23,1809,1,0.1
10000,23,9078,1,0.1
20000,23,17950,1,0.1
40000,23,35898,1,0.1
60000,23,54073,1,0.1
80000,23,72001,1,0.1
100000,23,90046,1,0.1
2,24,1,1,0.1
3,24,3,1,0.1
100,24,86,1,0.1
200,24,186,1,0.1
2000,24,1798,1,0.1
10000,24,9014,1,0.1
20000,24,17943,1,0.1
40000,24,36117,1,0.1
60000,24,54031,1,0.1
80000,24,71889,1,0.1
100000,24,89922,1,0.1
2,25,2,1,0.1
3,25,3,1,0.1
100,25,87,1,0.1
200,25,171,1,0.1
2000,25,1745,1,0.1
10000,25,8981,1,0.1
20000,25,17964,1,0.1
40000,25,35986,1,0.1
60000,25,54061,1,0.1
80000,25,71894,1,0.1
100000,25,90071,1,0.1
2,26,1,1,0.1
3,26,2,1,0.1
100,26,89,1,0.1
200,26,179,1,0.1
2000,26,1811,1,0.1
10000,26,8972,1,0.1
20000,26,17963,1,0.1
40000,26,35945,1,0.1
60000,26,54008,1,0.1
80000,26,71931,1,0.1
100000,26,90220,1,0.1
2,27,2,1,0.1
3,27,2,1,0.1
100,27,92,1,0.1
200,27,188,1,0.1
2000,27,1783,1,0.1
10000,27,8943,1,0.1
20000,27,17951,1,0.1
40000,27,36064,1,0.1
60000,27,53943,1,0.1
80000,27,72127,1,0.1
100000,27,89912,1,0.1
2,28,2,1,0.1
3,28,2,1,0.1
100,28,86,1,0.1
200,28,174,1,0.1
2000,28,1794,1,0.1
10000,28,9012,1,0.1
20000,28,17940,1,0.1
40000,28,36000,1,0.1
60000,28,53965,1,0.1
80000,28,72039,1,0.1
100000,28,90046,1,0.1
2,29,2,1,0.1
3,29,3,1,0.1
100,29,86,1,0.1
200,29,174,1,0.1
2000,29,1837,1,0.1
10000,29,8987,1,0.1
20000,29,18001,1,0.1
40000,29,35928,1,0.1
60000,29,54166,1,0.1
80000,29,71900,1,0.1
100000,29,90058,1,0.1
2,30,2,1,0.1
3,30,2,1,0.1
100,30,95,1,0.1
200,30,171,1,0.1
2000,30,1813,1,0.1
10000,30,9041,1,0.1
20000,30,17990,1,0.1
40000,30,35994,1,0.1
60000,30,54097,1,0.1
80000,30,72022,1,0.1
100000,30,89951,1,0.1
2,31,2,1,0.1
3,31,2,1,0.1
100,31,89,1,0.1
200,31,179,1,0.1
2000,31,1787,1,0.1
10000,31,9010,1,0.1
20000,31,17986,1,0.1
40000,31,35937,1,0.1
60000,31,53866,1,0.1
80000,31,72017,1,0.1
100000,31,90064,1,0.1
2,32,2,1,0.1
3,32,2,1,0.1
100,32,89,1,0.1
200,32,177,1,0.1
2000,32,1829,1,0.1
10000,32,9021,1,0.1
20000,32,18025,1,0.1
40000,32,36048,1,0.1
60000,32,53956,1,0.1
80000,32,71805,1,0.1
100000,32,89961,1,0.1
2,33,2,1,0.1
3,33,3,1,0.1
100,33,88,1,0.1
200,33,184,1,0.1
2000,33,1800,1,0.1
10000,33,8972,1,0.1
20000,33,18046,1,0.1
40000,33,35961,1,0.1
60000,33,53935,1,0.1
80000,33,71888,1,0.1
100000,33,90031,1,0.1
2,34,2,1,0.1
3,34,3,1,0.1
100,34,84,1,0.1
200,34,179,1,0.1
2000,34,1800,1,0.1
10000,34,8994,1,0.1
20000,34,18037,1,0.1
40000,34,35976,1,0.1
60000,34,53944,1,0.1
80000,34,71919,1,0.1
100000,34,89939,1,0.1
2,35,2,1,0.1
3,35,3,1,0.1
100,35,88,1,0.1
200,35,183,1,0.1
2000,35,1793,1,0.1
10000,35,9058,1,0.1
20000,35,18035,1,0.1
40000,35,35994,1,0.1
60000,35,54070,1,0.1
80000,35,71823,1,0.1
100000,35,89948,1,0.1
2,36,1,1,0.1
3,36,3,1,0.1
100,36,91,1,0.1
200,36,177,1,0.1
2000,36,1808,1,0.1
10000,36,9011,1,0.1
20000,36,17917,1,0.1
40000,36,35949,1,0.1
60000,36,54007,1,0.1
80000,36,71999,1,0.1
100000,36,89874,1,0.1
2,37,2,1,0.1
3,37,0,1,0.1
100,37,90,1,0.1
200,37,183,1,0.1
2000,37,1785,1,0.1
10000,37,9038,1,0.1
20000,37,18052,1,0.1
40000,37,36027,1,0.1
60000,37,53961,1,0.1
80000,37,71929,1,0.1
100000,37,89875,1,0.1
2,38,2,1,0.1
3,38,3,1,0.1
100,38,91,1,0.1
200,38,177,1,0.1
2000,38,1815,1,0.1
10000,38,9009,1,0.1
20000,38,17978,1,0.1
40000,38,36072,1,0.1
60000,38,54040,1,0.1
80000,38,71903,1,0.1
100000,38,90014,1,0.1
2,39,1,1,0.1
3,39,2,1,0.1
100,39,82,1,0.1
200,39,177,1,0.1
2000,39,1797,1,0.1
10000,39,9002,1,0.1
20000,39,18029,1,0.1
40000,39,35987,1,0.1
60000,39,53964,1,0.1
80000,39,71954,1,0.1
100000,39,90081,1,0.1
2,40,2,1,0.1
3,40,2,1,0.1
100,40,88,1,0.1
200,40,183,1,0.1
2000,40,1786,1,0.1
10000,40,8981,1,0.1
20000,40,17976,1,0.1
40000,40,35948,1,0.1
60000,40,53914,1,0.1
80000,40,71902,1,0.1
100000,40,90063,1,0.1
2,41,2,1,0.1
3,41,3,1,0.1
100,41,87,1,0.1
200,41,183,1,0.1
2000,41,1779,1,0.1
10000,41,8988,1,0.1
20000,41,18010,1,0.1
40000,41,36069,1,0.1
60000,41,54042,1,0.1
80000,41,72019,1,0.1
100000,41,89865,1,0.1
2,42,2,1,0.1
3,42,3,1,0.1
100,42,93,1,0.1
200,42,186,1,0.1
2000,42,1787,1,0.1
10000,42,9022,1,0.1
20000,42,17907,1,0.1
40000,42,35976,1,0.1
60000,42,53959,1,0.1
80000,42,71915,1,0.1
100000,42,90122,1,0.1
2,43,2,1,0.1
3,43,3,1,0.1
100,43,86,1,0.1
200,43,177,1,0.1
2000,43,1811,1,0.1
10000,43,8968,1,0.1
20000,43,17996,1,0.1
40000,43,36027,1,0.1
60000,43,54058,1,0.1
80000,43,72105,1,0.1
100000,43,89909,1,0.1
2,44,2,1,0.1
3,44,3,1,0.1
100,44,88,1,0.1
200,44,176,1,0.1
2000,44,1805,1,0.1
10000,44,8983,1,0.1
20000,44,17997,1,0.1
40000,44,36065,1,0.1
60000,44,53987,1,0.1
80000,44,71932,1,0.1
100000,44,90059,1,0.1
2,45,1,1,0.1
3,45,2,1,0.1
100,45,90,1,0.1
200,45,181,1,0.1
2000,45,1806,1,0.1
10000,45,8982,1,0.1
20000,45,18030,1,0.1
40000,45,35945,1,0.1
60000,45,54144,1,0.1
80000,45,71903,1,0.1
100000,45,89955,1,0.1
2,46,1,1,0.1
3,46,3,1,0.1
100,46,91,1,0.1
200,46,182,1,0.1
2000,46,1796,1,0.1
10000,46,8976,1,0.1
20000,46,17993,1,0.1
40000,46,35982,1,0.1
60000,46,54120,1,0.1
80000,46,71903,1,0.1
100000,46,90051,1,0.1
2,47,2,1,0.1
3,47,2,1,0.1
100,47,85,1,0.1
200,47,175,1,0.1
2000,47,1815,1,0.1
10000,47,8985,1,0.1
20000,47,17969,1,0.1
40000,47,36023,1,0.1
60000,47,54037,1,0.1
80000,47,71962,1,0.1
100000,47,89878,1,0.1
2,48,2,1,0.1
3,48,2,1,0.1
100,48,87,1,0.1
200,48,188,1,0.1
2000,48,1775,1,0.1
10000,48,9050,1,0.1
20000,48,18001,1,0.1
40000,48,36006,1,0.1
60000,48,54095,1,0.1
80000,48,71972,1,0.1
100000,48,90030,1,0.1
2,49,2,1,0.1
3,49,3,1,0.1
100,49,90,1,0.1
200,49,175,1,0.1
2000,49,1789,1,0.1
