Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
100,58,83,22,2.2
200,58,166,68,6.8
2,59,2,1,0.1
3,59,3,1,0.1
100,59,86,35,3.5
200,59,177,80,8.0
2,60,2,1,0.1
3,60,3,1,0.1
100,60,83,41,4.1
200,60,176,74,7.4
2,61,2,1,0.1
3,61,3,1,0.1
100,61,92,42,4.2
200,61,166,69,6.9
2,62,1,1,0.1
3,62,3,1,0.1
100,62,92,43,4.3
200,62,181,53,5.3
2,63,1,1,0.1
3,63,3,1,0.1
100,63,87,34,3.4
200,63,175,61,6.1
2,64,2,1,0.1
3,64,3,1,0.1
100,64,85,42,4.2
200,64,174,105,10.5
2,65,2,1,0.1
3,65,3,1,0.1
100,65,88,33,3.3
200,65,174,72,7.2
2,66,2,1,0.1
3,66,3,1,0.1
100,66,89,53,5.3
200,66,176,81,8.1
2,67,2,1,0.1
3,67,3,1,0.1
100,67,88,39,3.9
200,67,176,62,6.2
2,68,1,1,0.1
3,68,3,1,0.1
100,68,85,46,4.6
200,68,178,69,6.9
2,69,2,1,0.1
3,69,3,1,0.1
100,69,85,45,4.5
200,69,179,78,7.8
2,70,2,1,0.1
3,70,2,2,0.2
100,70,84,42,4.2
200,70,177,56,5.6
2,71,1,1,0.1
3,71,3,1,0.1
100,71,86,41,4.1
200,71,172,61,6.1
2,72,1,1,0.1
3,72,3,1,0.1
100,72,90,41,4.1
200,72,166,73,7.3
2,73,2,1,0.1
3,73,3,1,0.1
100,73,87,39,3.9
200,73,171,109,10.9
2,74,2,1,0.1
3,74,3,1,0.1
100,74,91,37,3.7
200,74,174,75,7.5
2,75,2,1,0.1
3,75,3,1,0.1
100,75,93,47,4.7
200,75,177,78,7.8
2,76,2,1,0.1
3,76,3,1,0.1
100,76,88,40,4.0
200,76,169,77,7.7
2,77,2,1,0.1
3,77,2,1,0.1
100,77,86,35,3.5
200,77,171,87,8.7
2,78,2,1,0.1
3,78,2,2,0.2
100,78,88,23,2.3
200,78,168,58,5.8
2,79,2,1,0.1
3,79,3,1,0.1
100,79,84,39,3.9
200,79,163,76,7.6
2,80,2,1,0.1
3,80,3,1,0.1
100,80,90,41,4.1
200,80,172,43,4.3
2,81,1,1,0.1
3,81,3,1,0.1
100,81,86,41,4.1
200,81,174,79,7.9
2,82,1,1,0.1
3,82,3,1,0.1
100,82,90,44,4.4
200,82,178,61,6.1
2,83,2,1,0.1
3,83,2,1,0.1
100,83,86,48,4.8
200,83,179,50,5.0
2,84,2,1,0.1
3,84,3,1,0.1
100,84,85,58,5.8
200,84,174,56,5.6
2,85,2,1,0.1
3,85,3,1,0.1
100,85,84,38,3.8
200,85,171,70,7.0
2,86,1,1,0.1
3,86,3,1,0.1
100,86,83,49,4.9
200,86,172,54,5.4
2,87,1,1,0.1
3,87,3,1,0.1
100,87,90,53,5.3
200,87,169,55,5.5
2,88,2,1,0.1
3,88,3,1,0.1
100,88,88,39,3.9
200,88,178,50,5.0
2,89,2,1,0.1
3,89,3,1,0.1
100,89,84,27,2.7
200,89,166,67,6.7
2,90,2,1,0.1
3,90,2,1,0.1
100,90,86,24,2.4
200,90,174,66,6.6
2,91,2,1,0.1
3,91,3,1,0.1
100,91,85,42,4.2
200,91,174,69,6.9
2,92,1,1,0.1
3,92,3,1,0.1
100,92,80,50,5.0
200,92,173,67,6.7
2,93,2,1,0.1
3,93,3,1,0.1
100,93,90,50,5.0
200,93,173,67,6.7
2,94,2,1,0.1
3,94,3,1,0.1
100,94,83,20,2.0
200,94,167,91,9.1
2,95,2,1,0.1
3,95,2,1,0.1
100,95,85,31,3.1
200,95,160,68,6.8
2,96,2,1,0.1
3,96,3,1,0.1
100,96,86,35,3.5
200,96,174,65,6.5
2,97,1,1,0.1
3,97,2,1,0.1
100,97,82,32,3.2
200,97,168,44,4.4
2,98,2,1,0.1
3,98,2,1,0.1
100,98,84,48,4.8
200,98,171,76,7.6
2,99,2,1,0.1
3,99,3,1,0.1
100,99,84,30,3.0
200,99,170,92,9.2
2,100,2,1,0.1
3,100,3,1,0.1
100,100,85,33,3.3
200,100,171,84,8.4
