Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret
2,1.79,0.1,0.009999999999999998
3,2.68,0.2,0.020000000000000004
100,88.35,14.54,1.4540000000000004
200,178.06,25.72,2.5720000000000005
2000,1785.72,141.43,14.143000000000004
10000,8944.79,517.06,51.70600000000001
20000,17895.04,1024.1,102.41000000000003
40000,35801.54,2017.83,201.78299999999996
60000,53690.08,3014.49,301.449
80000,71596.5,4042.01,404.20099999999985
100000,89474.15,5073.41,507.3410000000001
