Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret
2,1.7,1.0,0.09999999999999981
3,2.55,1.0,0.09999999999999981
100,89.38,1.0,0.09999999999999981
200,180.26,1.0,0.09999999999999981
2000,1800.41,1.0,0.09999999999999981
10000,9001.61,1.0,0.09999999999999981
20000,18002.19,1.0,0.09999999999999981
40000,35999.57,1.0,0.09999999999999981
60000,53997.96,1.0,0.09999999999999981
80000,71998.52,1.0,0.09999999999999981
100000,90004.69,1.0,0.09999999999999981
