Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
200,16,173,17,1.7
2000,16,1783,93,9.3
10000,16,8972,496,49.6
20000,16,17916,1055,105.5
40000,16,35807,1930,193.0
60000,16,53651,2927,292.7
80000,16,71578,4062,406.2
100000,16,89615,5002,500.2
2,17,2,0,0.0
3,17,3,0,0.0
100,17,90,28,2.8
200,17,177,9,0.9
2000,17,1779,135,13.5
10000,17,8953,508,50.8
20000,17,17868,997,99.7
40000,17,35758,1952,195.2
60000,17,53728,2914,291.4
80000,17,71746,4038,403.8
100000,17,89327,5448,544.8
2,18,2,0,0.0
3,18,1,0,0.0
100,18,91,17,1.7
200,18,179,13,1.3
2000,18,1806,117,11.7
10000,18,8883,511,51.1
20000,18,17848,1014,101.4
40000,18,35790,2065,206.5
60000,18,53727,3069,306.9
80000,18,71600,3964,396.4
100000,18,89266,5034,503.4
2,19,2,0,0.0
3,19,2,0,0.0
100,19,91,4,0.4
200,19,169,9,0.9
2000,19,1823,108,10.8
10000,19,8940,535,53.5
20000,19,17990,984,98.4
40000,19,35818,2013,201.3
60000,19,53670,2973,297.3
80000,19,71620,4044,404.4
100000,19,89533,4792,479.2
2,20,2,0,0.0
3,20,3,0,0.0
100,20,93,11,1.1
200,20,171,25,2.5
2000,20,1758,562,56.2
10000,20,8961,1086,108.6
20000,20,17920,991,99.1
40000,20,35768,2024,202.4
60000,20,53825,2976,297.6
80000,20,71598,4086,408.6
100000,20,89479,5055,505.5
2,21,2,0,0.0
3,21,3,0,0.0
100,21,92,7,0.7
200,21,186,12,1.2
2000,21,1784,102,10.2
10000,21,8948,637,63.7
20000,21,17904,1065,106.5
40000,21,35771,1991,199.1
60000,21,53676,3040,304.0
80000,21,71646,4074,407.4
100000,21,89502,5036,503.6
2,22,1,0,0.0
3,22,2,0,0.0
100,22,88,29,2.9
200,22,177,17,1.7
2000,22,1782,100,10.0
10000,22,8916,522,52.2
20000,22,17871,1072,107.2
40000,22,35743,2103,210.3
60000,22,53717,3101,310.1
80000,22,71672,4017,401.7
100000,22,89298,4978,497.8
2,23,2,0,0.0
3,23,3,0,0.0
100,23,82,9,0.9
200,23,183,12,1.2
2000,23,1801,105,10.5
10000,23,9003,509,50.9
20000,23,17841,1034,103.4
40000,23,35910,1997,199.7
60000,23,53677,3111,311.1
80000,23,71668,4020,402.0
100000,23,89446,4963,496.3
2,24,2,0,0.0
3,24,3,0,0.0
100,24,87,9,0.9
200,24,186,4,0.4
2000,24,1768,112,11.2
10000,24,8962,500,50.0
20000,24,17970,1101,110.1
40000,24,35794,1991,199.1
60000,24,53682,2912,291.2
80000,24,71566,4060,406.0
100000,24,89584,5059,505.9
2,25,2,0,0.0
3,25,3,0,0.0
100,25,88,6,0.6
200,25,188,14,1.4
2000,25,1800,100,10.0
10000,25,8959,547,54.7
20000,25,17902,1071,107.1
40000,25,35858,2012,201.2
60000,25,53729,3008,300.8
80000,25,71621,3966,396.6
100000,25,89557,5059,505.9
2,26,2,0,0.0
3,26,2,1,0.1
100,26,89,8,0.8
200,26,170,11,1.1
2000,26,1789,149,14.9
10000,26,8939,556,55.6
20000,26,17905,1012,101.2
40000,26,35855,1981,198.1
60000,26,53591,3007,300.7
80000,26,71556,3975,397.5
100000,26,89587,4857,485.7
2,27,2,0,0.0
3,27,3,2,0.2
100,27,88,10,1.0
200,27,181,32,3.2
2000,27,1782,105,10.5
10000,27,8987,543,54.3
20000,27,17879,1020,102.0
40000,27,35742,2018,201.8
60000,27,53753,3071,307.1
80000,27,71585,4044,404.4
100000,27,89607,5066,506.6
2,28,2,0,0.0
3,28,3,1,0.1
100,28,95,6,0.6
200,28,176,12,1.2
2000,28,1795,87,8.7
10000,28,8925,579,57.9
20000,28,17910,982,98.2
40000,28,35763,2021,202.1
60000,28,53715,2933,293.3
80000,28,71681,4014,401.4
100000,28,89499,5139,513.9
2,29,2,0,0.0
3,29,3,0,0.0
100,29,93,8,0.8
200,29,184,13,1.3
2000,29,1798,97,9.7
10000,29,8995,445,44.5
20000,29,17920,956,95.6
40000,29,35751,2032,203.2
60000,29,53707,3043,304.3
80000,29,71653,3975,397.5
100000,29,89444,5037,503.7
2,30,1,0,0.0
3,30,3,0,0.0
100,30,87,7,0.7
200,30,183,15,1.5
2000,30,1784,155,15.5
10000,30,8938,518,51.8
20000,30,17930,997,99.7
40000,30,35771,1968,196.8
60000,30,53679,2963,296.3
80000,30,71521,3960,396.0
100000,30,89536,4957,495.7
2,31,1,0,0.0
3,31,3,0,0.0
100,31,89,11,1.1
200,31,167,180,18.0
2000,31,1766,107,10.7
10000,31,8923,478,47.8
20000,31,17961,1025,102.5
40000,31,35773,2029,202.9
60000,31,53741,2962,296.2
80000,31,71631,4025,402.5
100000,31,89573,5042,504.2
2,32,2,0,0.0
3,32,2,0,0.0
100,32,80,56,5.6
200,32,172,22,2.2
2000,32,1777,165,16.5
10000,32,8847,516,51.6
20000,32,17902,1053,105.3
40000,32,35767,2059,205.9
60000,32,53634,3483,348.3
80000,32,71506,4181,418.1
100000,32,89536,5015,501.5
2,33,2,0,0.0
3,33,2,0,0.0
100,33,89,25,2.5
200,33,176,15,1.5
2000,33,1815,109,10.9
10000,33,8951,474,47.4
20000,33,17916,957,95.7
40000,33,35845,1970,197.0
60000,33,53715,3001,300.1
80000,33,71521,3935,393.5
100000,33,89435,5164,516.4
2,34,1,0,0.0
3,34,2,0,0.0
100,34,86,6,0.6
200,34,179,12,1.2
2000,34,1785,96,9.6
10000,34,8931,495,49.5
20000,34,17881,974,97.4
40000,34,35827,2067,206.7
60000,34,53801,3010,301.0
80000,34,71613,4062,406.2
100000,34,89370,5032,503.2
2,35,2,0,0.0
3,35,3,0,0.0
100,35,87,7,0.7
200,35,180,14,1.4
2000,35,1788,109,10.9
10000,35,8930,521,52.1
20000,35,17896,1029,102.9
40000,35,35760,2015,201.5
60000,35,53701,3032,303.2
80000,35,71461,3960,396.0
100000,35,89430,4914,491.4
2,36,2,0,0.0
3,36,3,1,0.1
100,36,75,91,9.1
200,36,169,158,15.8
2000,36,1772,101,10.1
10000,36,8946,528,52.8
20000,36,17938,995,99.5
40000,36,35767,2009,200.9
60000,36,53605,2995,299.5
80000,36,71690,4037,403.7
100000,36,89439,4967,496.7
2,37,2,0,0.0
3,37,3,0,0.0
100,37,86,2,0.2
200,37,174,15,1.5
2000,37,1785,100,10.0
10000,37,8964,494,49.4
20000,37,17949,992,99.2
40000,37,35828,2015,201.5
60000,37,53727,3034,303.4
80000,37,71595,4092,409.2
100000,37,89404,5045,504.5
2,38,2,0,0.0
3,38,3,0,0.0
100,38,86,10,1.0
200,38,179,78,7.8
2000,38,1793,128,12.8
10000,38,8887,498,49.8
20000,38,17920,1035,103.5
40000,38,35833,1978,197.8
60000,38,53718,3039,303.9
80000,38,71593,4098,409.8
100000,38,89495,5056,505.6
2,39,1,0,0.0
3,39,3,0,0.0
100,39,87,6,0.6
200,39,178,28,2.8
2000,39,1791,164,16.4
10000,39,8986,501,50.1
20000,39,17964,1047,104.7
40000,39,35776,1971,197.1
60000,39,53710,2904,290.4
80000,39,71545,4119,411.9
100000,39,89413,5062,506.2
2,40,2,0,0.0
3,40,3,0,0.0
100,40,89,10,1.0
200,40,176,40,4.0
2000,40,1784,90,9.0
10000,40,8950,504,50.4
20000,40,17919,974,97.4
40000,40,35748,2087,208.7
60000,40,53788,2946,294.6
80000,40,71393,4309,430.9
100000,40,89332,5092,509.2
2,41,1,0,0.0
3,41,3,0,0.0
100,41,89,6,0.6
200,41,178,11,1.1
2000,41,1814,106,10.6
10000,41,9018,502,50.2
20000,41,18037,1005,100.5
40000,41,35782,2048,204.8
60000,41,53685,2989,298.9
80000,41,71668,3939,393.9
100000,41,89564,4951,495.1
2,42,2,0,0.0
3,42,1,0,0.0
100,42,88,5,0.5
200,42,181,12,1.2
2000,42,1694,911,91.1
10000,42,9006,463,46.3
20000,42,17900,974,97.4
40000,42,35769,2012,201.2
60000,42,53839,3001,300.1
80000,42,71685,3968,396.8
100000,42,89567,4900,490.0
2,43,2,0,0.0
3,43,3,0,0.0
100,43,91,8,0.8
200,43,166,31,3.1
2000,43,1794,100,10.0
10000,43,8923,483,48.3
20000,43,17872,988,98.8
40000,43,35782,2104,210.4
60000,43,53763,3108,310.8
80000,43,71493,4004,400.4
100000,43,89540,5024,502.4
2,44,2,0,0.0
3,44,3,0,0.0
100,44,83,9,0.9
200,44,184,13,1.3
2000,44,1798,121,12.1
10000,44,8974,451,45.1
20000,44,17848,1024,102.4
40000,44,35769,1978,197.8
60000,44,53636,3065,306.5
80000,44,71581,3946,394.6
100000,44,89461,5099,509.9
2,45,2,0,0.0
3,45,3,0,0.0
100,45,88,25,2.5
200,45,172,172,17.2
2000,45,1817,97,9.7
10000,45,8929,516,51.6
20000,45,17887,976,97.6
40000,45,35715,2008,200.8
60000,45,53710,3131,313.1
80000,45,71640,4268,426.8
100000,45,89459,5022,502.2
2,46,2,0,0.0
3,46,3,0,0.0
100,46,89,13,1.3
200,46,180,17,1.7
2000,46,1808,96,9.6
10000,46,8984,514,51.4
20000,46,17950,988,98.8
40000,46,35771,2138,213.8
60000,46,53654,2897,289.7
80000,46,71588,3977,397.7
100000,46,89350,5064,506.4
2,47,2,0,0.0
3,47,2,0,0.0
100,47,86,11,1.1
200,47,181,6,0.6
2000,47,1774,161,16.1
10000,47,8902,539,53.9
20000,47,17809,1012,101.2
40000,47,35832,1971,197.1
60000,47,53646,3027,302.7
80000,47,71441,3929,392.9
100000,47,89540,5074,507.4
2,48,2,0,0.0
3,48,3,0,0.0
100,48,77,86,8.6
200,48,184,4,0.4
2000,48,1780,97,9.7
10000,48,8928,518,51.8
20000,48,17901,953,95.3
40000,48,35733,2047,204.7
60000,48,53872,2976,297.6
80000,48,71422,3961,396.1
100000,48,89440,4991,499.1
2,49,2,0,0.0
3,49,2,3,0.3
100,49,90,5,0.5
200,49,181,57,5.7
2000,49,1777,90,9.0
10000,49,8959,505,50.5
20000,49,17919,970,97.0
40000,49,35739,2040,204.0
60000,49,53568,3050,305.0
80000,49,71519,4182,418.2
100000,49,89617,4978,497.8
2,50,2,0,0.0
3,50,2,0,0.0
100,50,87,6,0.6
200,50,181,10,1.0
2000,50,1786,105,10.5
10000,50,8905,482,48.2
20000,50,17872,988,98.8
40000,50,35818,2041,204.1
60000,50,53730,3045,304.5
80000,50,71617,3937,393.7
100000,50,89479,5001,500.1
2,51,2,0,0.0
3,51,2,1,0.1
100,51,93,5,0.5
200,51,185,8,0.8
2000,51,1789,111,11.1
10000,51,8916,458,45.8
20000,51,17831,1195,119.5
40000,51,35829,2021,202.1
60000,51,53770,2956,295.6
80000,51,71658,4005,400.5
100000,51,89625,5034,503.4
2,52,2,0,0.0
3,52,3,0,0.0
100,52,86,2,0.2
200,52,175,17,1.7
2000,52,1779,403,40.3
10000,52,8893,468,46.8
20000,52,17898,1001,100.1
40000,52,35816,2054,205.4
60000,52,53545,2999,299.9
80000,52,71811,3932,393.2
100000,52,89508,5035,503.5
2,53,2,0,0.0
3,53,3,0,0.0
100,53,93,10,1.0
200,53,171,106,10.6
2000,53,1759,110,11.0
10000,53,8983,516,51.6
20000,53,17904,1020,102.0
40000,53,35662,2023,202.3
60000,53,53691,2889,288.9
80000,53,71665,4076,407.6
100000,53,89453,5023,502.3
2,54,2,1,0.1
3,54,3,0,0.0
100,54,93,7,0.7
200,54,181,15,1.5
2000,54,1777,118,11.8
10000,54,8861,533,53.3
20000,54,17839,993,99.3
40000,54,35772,2056,205.6
60000,54,53806,3033,303.3
80000,54,71519,4443,444.3
100000,54,89362,5164,516.4
2,55,1,0,0.0
3,55,2,0,0.0
100,55,87,6,0.6
200,55,176,11,1.1
2000,55,1756,674,67.4
10000,55,8958,498,49.8
20000,55,17860,1006,100.6
40000,55,35871,2048,204.8
60000,55,53734,2964,296.4
80000,55,71507,4010,401.0
100000,55,89315,5003,500.3
2,56,1,0,0.0
3,56,3,0,0.0
100,56,89,11,1.1
200,56,174,6,0.6
2000,56,1776,106,10.6
10000,56,8936,497,49.7
20000,56,17939,1009,100.9
40000,56,35850,2089,208.9
60000,56,53645,3044,304.4
80000,56,71460,4218,421.8
100000,56,89484,5076,507.6
2,57,2,0,0.0
3,57,3,0,0.0
100,57,86,8,0.8
200,57,166,102,10.2
2000,57,1800,108,10.8
10000,57,8940,802,80.2
20000,57,17867,1063,106.3
40000,57,36016,1951,195.1
60000,57,53595,3066,306.6
80000,57,71564,4002,400.2
100000,57,89462,4931,493.1
2,58,2,0,0.0
3,58,3,0,0.0
100,58,89,11,1.1
200,58,184,5,0.5
2000,58,1805,115,11.5
10000,58,8943,477,47.7
20000,58,17861,1032,103.2
40000,58,35753,1967,196.7
60000,58,53621,3015,301.5
80000,58,71636,3895,389.5
100000,58,89378,5471,547.1
2,59,1,0,0.0
3,59,3,0,0.0
100,59,90,3,0.3
200,59,179,68,6.8
2000,59,1779,160,16.0
10000,59,8917,513,51.3
20000,59,17916,1570,157.0
40000,59,35850,1957,195.7
60000,59,53583,2944,294.4
80000,59,71721,4109,410.9
100000,59,89400,4979,497.9
2,60,2,0,0.0
3,60,3,0,0.0
100,60,89,7,0.7
200,60,172,27,2.7
2000,60,1737,609,60.9
10000,60,8935,546,54.6
20000,60,17831,984,98.4
40000,60,35808,2091,209.1
60000,60,53676,3030,303.0
80000,60,71489,4072,407.2
100000,60,89500,5095,509.5
2,61,2,0,0.0
3,61,3,0,0.0
100,61,88,4,0.4
200,61,180,41,4.1
2000,61,1768,116,11.6
10000,61,8978,497,49.7
20000,61,17915,997,99.7
40000,61,35758,1952,195.2
60000,61,53683,3051,305.1
80000,61,71493,4263,426.3
100000,61,89573,5070,507.0
2,62,2,0,0.0
3,62,3,0,0.0
100,62,91,6,0.6
200,62,167,78,7.8
2000,62,1797,146,14.6
10000,62,9032,469,46.9
20000,62,17919,999,99.9
40000,62,35848,2048,204.8
60000,62,53438,2928,292.8
80000,62,71622,4048,404.8
100000,62,89436,5047,504.7
2,63,2,0,0.0
3,63,2,0,0.0
100,63,90,6,0.6
200,63,178,9,0.9
2000,63,1794,167,16.7
10000,63,8922,517,51.7
20000,63,17917,1020,102.0
40000,63,35740,2046,204.6
60000,63,53745,2961,296.1
80000,63,71515,4294,429.4
100000,63,89341,5089,508.9
2,64,2,0,0.0
3,64,2,1,0.1
100,64,86,9,0.9
200,64,178,12,1.2
2000,64,1771,103,10.3
10000,64,8972,512,51.2
20000,64,17845,966,96.6
40000,64,35779,2027,202.7
60000,64,53614,3067,306.7
80000,64,71530,3981,398.1
100000,64,89523,5075,507.5
2,65,2,0,0.0
3,65,2,0,0.0
100,65,88,4,0.4
200,65,178,11,1.1
2000,65,1778,92,9.2
10000,65,8971,521,52.1
20000,65,17828,1043,104.3
40000,65,35926,1965,196.5
60000,65,53637,2980,298.0
80000,65,71745,4013,401.3
100000,65,89510,5114,511.4
2,66,2,0,0.0
3,66,3,0,0.0
100,66,90,9,0.9
200,66,178,50,5.0
2000,66,1779,108,10.8
10000,66,8953,480,48.0
20000,66,17860,996,99.6
40000,66,35896,1994,199.4
60000,66,53753,2970,297.0
80000,66,71565,3980,398.0
100000,66,89607,4979,497.9
2,67,2,0,0.0
3,67,3,0,0.0
100,67,86,10,1.0
200,67,177,21,2.1
2000,67,1767,109,10.9
10000,67,8990,514,51.4
20000,67,17899,1012,101.2
40000,67,35894,2011,201.1
60000,67,53702,3006,300.6
80000,67,71486,4064,406.4
100000,67,89426,5042,504.2
2,68,2,0,0.0
3,68,3,1,0.1
100,68,89,4,0.4
200,68,180,13,1.3
2000,68,1781,142,14.2
10000,68,8985,486,48.6
20000,68,17853,1057,105.7
40000,68,35951,1934,193.4
60000,68,53820,2964,296.4
80000,68,71345,4187,418.7
100000,68,89464,4968,496.8
2,69,2,0,0.0
3,69,2,0,0.0
100,69,87,3,0.3
200,69,180,10,1.0
2000,69,1771,160,16.0
10000,69,8968,499,49.9
20000,69,17870,968,96.8
40000,69,35751,1975,197.5
60000,69,53672,2978,297.8
80000,69,71440,4035,403.5
100000,69,89470,4950,495.0
2,70,2,0,0.0
3,70,3,0,0.0
100,70,93,6,0.6
200,70,174,41,4.1
2000,70,1777,134,13.4
10000,70,8951,510,51.0
20000,70,17861,1045,104.5
40000,70,35842,1984,198.4
60000,70,53690,2977,297.7
80000,70,71650,4098,409.8
100000,70,89586,4932,493.2
2,71,2,0,0.0
3,71,3,0,0.0
100,71,86,60,6.0
200,71,172,9,0.9
2000,71,1799,98,9.8
10000,71,8972,470,47.0
20000,71,17923,1074,107.4
40000,71,35955,1998,199.8
60000,71,53702,3158,315.8
80000,71,71604,4005,400.5
100000,71,89546,5010,501.0
2,72,2,0,0.0
3,72,3,0,0.0
100,72,90,7,0.7
200,72,180,10,1.0
2000,72,1801,124,12.4
10000,72,8971,508,50.8
20000,72,17881,1002,100.2
40000,72,35760,1941,194.1
60000,72,53726,2997,299.7
80000,72,71710,4033,403.3
100000,72,89457,5106,510.6
2,73,1,0,0.0
3,73,3,0,0.0
100,73,85,84,8.4
200,73,181,34,3.4
2000,73,1798,95,9.5
10000,73,8922,547,54.7
20000,73,17844,1027,102.7
40000,73,35816,2041,204.1
60000,73,53769,2954,295.4
80000,73,71723,3928,392.8
100000,73,89562,4889,488.9
2,74,2,0,0.0
3,74,3,0,0.0
100,74,93,9,0.9
200,74,171,19,1.9
2000,74,1762,110,11.0
10000,74,8938,541,54.1
20000,74,17840,1053,105.3
40000,74,35838,2127,212.7
60000,74,53618,3048,304.8
80000,74,71700,3919,391.9
100000,74,89635,4944,494.4
2,75,2,0,0.0
3,75,3,0,0.0
100,75,85,7,0.7
200,75,183,13,1.3
2000,75,1801,128,12.8
10000,75,8886,531,53.1
20000,75,17933,1051,105.1
40000,75,35818,1973,197.3
60000,75,53694,3034,303.4
80000,75,71545,3999,399.9
100000,75,89514,5182,518.2
2,76,2,0,0.0
3,76,3,0,0.0
100,76,91,6,0.6
200,76,184,23,2.3
2000,76,1790,107,10.7
10000,76,8932,507,50.7
20000,76,17903,1027,102.7
40000,76,35667,1982,198.2
60000,76,53728,3029,302.9
80000,76,71521,3926,392.6
100000,76,89546,4903,490.3
2,77,2,0,0.0
3,77,3,0,0.0
100,77,94,10,1.0
200,77,179,9,0.9
2000,77,1774,80,8.0
10000,77,8962,483,48.3
20000,77,17912,1044,104.4
40000,77,35789,2073,207.3
60000,77,53663,3015,301.5
80000,77,71596,4036,403.6
100000,77,89210,7855,785.5
2,78,1,0,0.0
3,78,2,0,0.0
100,78,82,4,0.4
200,78,187,18,1.8
2000,78,1798,142,14.2
10000,78,8948,509,50.9
20000,78,17932,1018,101.8
40000,78,35784,1963,196.3
60000,78,53695,3015,301.5
80000,78,71523,4043,404.3
100000,78,89538,4888,488.8
2,79,2,0,0.0
3,79,3,0,0.0
100,79,89,18,1.8
200,79,180,17,1.7
2000,79,1794,102,10.2
10000,79,8943,545,54.5
20000,79,17922,1036,103.6
40000,79,35788,1984,198.4
60000,79,53661,3101,310.1
80000,79,71553,4006,400.6
100000,79,89344,5122,512.2
2,80,2,0,0.0
3,80,3,0,0.0
100,80,81,41,4.1
200,80,182,8,0.8
2000,80,1797,100,10.0
10000,80,8964,482,48.2
20000,80,17997,982,98.2
40000,80,35797,1993,199.3
60000,80,53732,3115,311.5
80000,80,71561,4064,406.4
100000,80,89348,5067,506.7
2,81,2,0,0.0
3,81,3,0,0.0
100,81,85,4,0.4
200,81,177,13,1.3
2000,81,1753,181,18.1
10000,81,9006,536,53.6
20000,81,17840,1013,101.3
40000,81,35813,2042,204.2
60000,81,53669,2914,291.4
80000,81,71460,3941,394.1
100000,81,89486,4985,498.5
2,82,2,0,0.0
3,82,3,0,0.0
100,82,92,4,0.4
200,82,185,7,0.7
2000,82,1791,97,9.7
10000,82,8881,545,54.5
20000,82,17829,1051,105.1
40000,82,35803,1961,196.1
60000,82,53681,3024,302.4
80000,82,71738,3997,399.7
100000,82,89417,5041,504.1
2,83,0,0,0.0
3,83,3,0,0.0
100,83,88,4,0.4
200,83,176,11,1.1
2000,83,1784,120,12.0
10000,83,8929,492,49.2
20000,83,17910,1032,103.2
40000,83,35772,2066,206.6
60000,83,53692,3014,301.4
80000,83,71566,4091,409.1
100000,83,89499,4981,498.1
2,84,1,0,0.0
3,84,2,0,0.0
100,84,83,8,0.8
200,84,190,13,1.3
2000,84,1813,129,12.9
10000,84,8905,470,47.0
20000,84,17888,1024,102.4
40000,84,35791,1957,195.7
60000,84,53845,2951,295.1
80000,84,71669,4096,409.6
100000,84,89621,5099,509.9
2,85,1,0,0.0
3,85,3,0,0.0
100,85,92,25,2.5
200,85,181,9,0.9
2000,85,1767,99,9.9
10000,85,8921,515,51.5
20000,85,17850,1014,101.4
40000,85,35799,2011,201.1
60000,85,53800,3022,302.2
80000,85,71594,3985,398.5
100000,85,89550,5971,597.1
2,86,2,2,0.2
3,86,3,1,0.1
100,86,97,5,0.5
200,86,176,13,1.3
2000,86,1775,236,23.6
10000,86,8948,566,56.6
20000,86,17872,1003,100.3
40000,86,35846,2044,204.4
60000,86,53636,2963,296.3
80000,86,71533,4050,405.0
100000,86,89426,5087,508.7
2,87,1,0,0.0
3,87,2,0,0.0
100,87,91,28,2.8
200,87,180,25,2.5
2000,87,1776,90,9.0
10000,87,8962,466,46.6
20000,87,17959,954,95.4
40000,87,35858,2018,201.8
60000,87,53713,2966,296.6
80000,87,71450,4081,408.1
100000,87,89505,4987,498.7
2,88,2,0,0.0
3,88,3,0,0.0
100,88,91,7,0.7
200,88,173,13,1.3
2000,88,1774,92,9.2
10000,88,8936,515,51.5
20000,88,17853,1021,102.1
40000,88,35909,2075,207.5
60000,88,53641,3031,303.1
80000,88,71639,3936,393.6
100000,88,89246,4865,486.5
2,89,2,0,0.0
3,89,3,3,0.3
100,89,92,13,1.3
200,89,182,11,1.1
2000,89,1793,114,11.4
10000,89,8895,516,51.6
20000,89,17840,990,99.0
40000,89,35764,2051,205.1
60000,89,53802,2975,297.5
80000,89,71559,4054,405.4
100000,89,89449,5098,509.8
2,90,2,2,0.2
3,90,3,0,0.0
100,90,91,10,1.0
200,90,178,27,2.7
2000,90,1799,106,10.6
10000,90,8961,544,54.4
20000,90,17870,987,98.7
40000,90,35769,1931,193.1
60000,90,53619,2938,293.8
80000,90,71616,3966,396.6
100000,90,89547,4944,494.4
2,91,2,0,0.0
3,91,2,1,0.1
100,91,85,8,0.8
200,91,181,18,1.8
2000,91,1808,145,14.5
10000,91,8928,471,47.1
20000,91,17871,943,94.3
40000,91,35829,2019,201.9
60000,91,53617,3044,304.4
80000,91,71619,3987,398.7
100000,91,89522,4930,493.0
2,92,1,2,0.2
3,92,3,0,0.0
100,92,88,15,1.5
200,92,174,8,0.8
2000,92,1781,98,9.8
10000,92,8945,487,48.7
20000,92,17910,968,96.8
40000,92,35724,2046,204.6
60000,92,53704,3093,309.3
80000,92,71674,3956,395.6
100000,92,89643,5043,504.3
2,93,2,0,0.0
3,93,2,0,0.0
100,93,93,6,0.6
200,93,179,8,0.8
2000,93,1793,102,10.2
10000,93,8976,541,54.1
