Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
2,1,1,0,0.0
3,1,3,0,0.0
100,1,83,15,1.5
200,1,177,15,1.5
2000,1,1791,132,13.2
10000,1,8918,495,49.5
20000,1,17920,968,96.8
40000,1,35776,1956,195.6
60000,1,53541,3039,303.9
80000,1,71749,3980,398.0
100000,1,89461,4965,496.5
2,2,1,2,0.2
3,2,1,0,0.0
100,2,89,5,0.5
200,2,182,20,2.0
2000,2,1789,96,9.6
10000,2,8923,551,55.1
20000,2,17897,1066,106.6
40000,2,35884,2083,208.3
60000,2,53747,2948,294.8
80000,2,71599,4166,416.6
100000,2,89443,5171,517.1
2,3,2,0,0.0
3,3,3,0,0.0
100,3,89,7,0.7
200,3,180,13,1.3
2000,3,1803,116,11.6
10000,3,8926,562,56.2
20000,3,17854,1004,100.4
40000,3,35694,2006,200.6
60000,3,53664,2992,299.2
80000,3,71600,3991,399.1
100000,3,89434,5100,510.0
2,4,2,0,0.0
3,4,1,3,0.3
100,4,92,7,0.7
200,4,180,16,1.6
2000,4,1784,96,9.6
10000,4,8970,505,50.5
20000,4,17871,977,97.7
40000,4,35856,2046,204.6
60000,4,53756,3035,303.5
80000,4,71662,3990,399.0
100000,4,89349,4965,496.5
2,5,1,0,0.0
3,5,3,0,0.0
100,5,88,2,0.2
200,5,175,14,1.4
2000,5,1806,114,11.4
10000,5,8894,505,50.5
20000,5,17936,1064,106.4
40000,5,35791,2050,205.0
60000,5,53698,3076,307.6
80000,5,71610,3998,399.8
100000,5,89483,5088,508.8
2,6,2,0,0.0
3,6,3,0,0.0
100,6,91,5,0.5
200,6,176,15,1.5
2000,6,1801,92,9.2
10000,6,8898,487,48.7
20000,6,17894,1107,110.7
40000,6,35745,1969,196.9
60000,6,53699,2986,298.6
80000,6,71663,4063,406.3
100000,6,89611,4892,489.2
2,7,2,0,0.0
3,7,3,0,0.0
100,7,88,11,1.1
200,7,181,5,0.5
2000,7,1782,113,11.3
10000,7,8938,518,51.8
20000,7,17858,1098,109.8
40000,7,35862,1988,198.8
60000,7,53672,3007,300.7
80000,7,71569,4082,408.2
100000,7,89401,5008,500.8
2,8,2,0,0.0
3,8,3,0,0.0
100,8,85,10,1.0
200,8,171,13,1.3
2000,8,1791,92,9.2
10000,8,8950,455,45.5
20000,8,17961,1006,100.6
40000,8,35802,1956,195.6
60000,8,53657,3051,305.1
80000,8,71527,4133,413.3
100000,8,89331,5107,510.7
2,9,2,0,0.0
3,9,3,1,0.1
100,9,90,14,1.4
200,9,166,183,18.3
2000,9,1806,109,10.9
10000,9,8985,495,49.5
20000,9,17916,1064,106.4
40000,9,35865,2015,201.5
60000,9,53597,2985,298.5
80000,9,71639,3974,397.4
100000,9,89309,5130,513.0
2,10,2,0,0.0
3,10,3,0,0.0
100,10,86,9,0.9
200,10,174,13,1.3
2000,10,1788,126,12.6
10000,10,8944,507,50.7
20000,10,17896,969,96.9
40000,10,35925,1989,198.9
60000,10,53615,3006,300.6
80000,10,71556,4056,405.6
100000,10,89528,5058,505.8
2,11,2,0,0.0
3,11,2,0,0.0
100,11,82,92,9.2
200,11,177,10,1.0
2000,11,1778,108,10.8
10000,11,8884,509,50.9
20000,11,17926,1080,108.0
40000,11,35772,1974,197.4
60000,11,53641,3072,307.2
80000,11,71444,4248,424.8
100000,11,89549,4967,496.7
2,12,2,0,0.0
3,12,3,0,0.0
100,12,86,5,0.5
200,12,185,13,1.3
2000,12,1809,114,11.4
10000,12,8962,486,48.6
20000,12,17952,993,99.3
40000,12,35767,2283,228.3
60000,12,53819,2995,299.5
80000,12,71723,4001,400.1
100000,12,89546,4972,497.2
2,13,2,0,0.0
3,13,3,0,0.0
100,13,84,5,0.5
200,13,181,16,1.6
2000,13,1791,107,10.7
10000,13,8933,525,52.5
20000,13,17899,1017,101.7
40000,13,35835,2031,203.1
60000,13,53756,3042,304.2
80000,13,71569,4120,412.0
100000,13,89498,5144,514.4
2,14,2,0,0.0
3,14,3,0,0.0
100,14,90,9,0.9
200,14,175,13,1.3
2000,14,1783,104,10.4
10000,14,8989,518,51.8
20000,14,17859,1007,100.7
40000,14,35764,2005,200.5
60000,14,53615,3089,308.9
80000,14,71767,3947,394.7
100000,14,89389,5121,512.1
2,15,2,0,0.0
3,15,3,0,0.0
100,15,92,20,2.0
200,15,183,21,2.1
2000,15,1761,105,10.5
10000,15,8913,475,47.5
20000,15,17953,1037,103.7
40000,15,35792,2036,203.6
60000,15,53718,3002,300.2
80000,15,71657,4302,430.2
100000,15,89487,5096,509.6
2,16,2,0,0.0
3,16,2,0,0.0
100,16,89,13,1.3
